id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13953385,Stylish and comfortable room in quiet area,4301128,Sylvia,,Gaasperdam - Driemond,52.29165,4.99316,Private room,59.0,2,67,2024-08-11,0.68,1,12,10,0363 E93D F4C6 E85D 95C8
14050092,Large Room ( 2 pers) 25 mins from centre Amsterdam,84256372,Carla,,De Aker - Nieuw Sloten,52.34679,4.80295,Private room,62.0,2,415,2024-08-22,4.21,1,106,49,0363 1940 1695 903B 761F
14086359,"Room+ balcony, sunny roof terrace, BBQ& Whirlpool",4094987,Michiel,,De Baarsjes - Oud-West,52.362648,4.851774,Private room,86.0,2,200,2024-09-01,2.21,1,135,47,0363 E5DC 2983 C1F4 20AF
14526096,Private room in a stylish apartment near citybeach,26478960,Ozzy,,IJburg - Zeeburgereiland,52.35169472119457,5.002071614043041,Private room,74.0,1,158,2024-09-01,1.61,1,66,25,0363 48B1 0366 3B15 0B37
14853175,Quiet room with free car parking,92986064,Liliana,,Noord-West,52.40987,4.92275,Private room,43.0,2,489,2024-08-28,5.03,1,194,72,03639844AD0BA65E992D
15110564,50sqm nice apartment in Amsterdam,38661523,Niels,,De Pijp - Rivierenbuurt,52.34245,4.90099,Entire home/apt,100.0,1,43,2022-08-07,0.45,1,0,0,0363 FC5A AEE3 2C7E 772A
15286319,"PRIVATE Studio Apartment, Pijp district, Amsterdam",76607139,Karin,,De Pijp - Rivierenbuurt,52.35412,4.89504,Private room,71.0,1,379,2023-01-03,3.94,1,2,0,0363 9FA8 4742 A853 8269
15497619,Single bedroom (max 1 guest),2829587,Greg,,Geuzenveld - Slotermeer,52.37451221604475,4.8344098910581605,Private room,73.0,1,303,2024-08-20,3.37,1,64,49,0363 DE36 410A 76FA 5651
16050056,Big delightfull spacious room in gorgeous home,15712909,Nima,,Noord-West,52.41079,4.89465,Private room,74.0,2,105,2024-06-16,1.11,3,62,12,0363D1E76939B5922D09
16341879,Saint Claire 1,44168250,Holiday,,Centrum-West,52.36883,4.89309,Private room,52.0,2,33,2024-08-07,0.48,4,351,10,0363 C1A3 3345 5208 37AF
16342515,Saint Claire 2,44168250,Holiday,,Centrum-West,52.36831,4.89463,Private room,52.0,2,43,2024-06-14,0.52,4,343,4,0363 C1A3 3345 5208 37AF
16583033,Canal room,4978942,Beca,,De Baarsjes - Oud-West,52.36873,4.85616,Private room,83.0,1,433,2024-08-20,5.08,2,306,83,0363 8D34 88C2 7D97 3EA4
